,Adj_Close,Close,High,Low,Open,Volume
2004-03-05,28.4271,52.4402,53.7052,52.3252,52.3252,10936600
2004-03-08,28.5519,52.6702,53.1302,52.5552,52.9002,4632900
2004-03-09,28.6765,52.9002,53.0152,52.2101,52.5552,2632200
2004-03-10,28.5519,52.6702,53.0152,52.3252,52.9002,1744100
2004-03-11,28.5519,52.6702,52.7851,51.8652,52.4402,2125600
2004-03-12,28.0531,51.7502,52.3252,51.4052,52.3252,3042500
2004-03-15,27.3051,50.3702,52.0952,50.3702,51.9802,3478900
2004-03-16,26.6817,49.2202,50.6002,49.1052,50.6002,6101100
2004-03-17,26.37,48.6452,49.9101,48.6452,49.4502,4180400
2004-03-18,26.7439,49.3351,49.7952,48.6452,48.7601,11618400
2004-03-19,26.6817,49.2202,49.9101,49.1052,49.2202,7122200
2004-03-22,24.8737,45.8851,45.8851,45.8851,45.8851,866300
2004-03-23,25.2478,46.5752,47.6101,42.7802,42.7802,13277600
2004-03-24,25.8088,47.6101,47.8402,46.3451,46.5752,4577600
2004-03-25,25.4971,47.0351,47.7252,46.3451,47.3802,4525200
2004-03-26,25.3101,46.6902,47.6101,46.5752,47.4951,1823700
2004-03-29,26.3076,48.5302,48.7601,47.3802,47.8402,2740400
2004-03-30,26.0583,48.0702,48.5302,47.7252,48.5302,2214100
2004-03-31,25.9335,47.8402,48.3002,47.4951,48.3002,2737700
2004-04-01,25.9959,47.9552,48.5302,47.6101,47.7252,1555100
2004-04-02,26.1829,48.3002,48.4152,47.9552,48.3002,2113500
2004-04-05,26.6817,49.2202,49.5652,48.4152,48.9902,3061600
2004-04-06,26.6193,49.1052,49.4502,48.7601,49.2202,2549500
2004-04-07,26.8686,49.5652,49.6802,49.1052,49.4502,1793700
2004-04-08,26.9934,49.7952,50.0252,49.4502,50.0252,2350000
2004-04-09,26.6193,49.1052,49.7952,49.1052,49.7952,1852500
2004-04-12,26.9934,49.7952,50.0252,49.4502,49.7952,2245700
2004-04-13,26.9934,49.7952,50.1402,49.6802,50.1402,1937200
2004-04-14,26.8686,49.5652,49.7952,49.2202,49.7952,1404000
2004-04-15,26.4322,48.7601,49.5652,48.7601,49.4502,3052000
2004-04-16,26.4946,48.8752,49.3351,48.5302,48.8752,1002200
2004-04-19,26.1205,48.1851,49.2202,47.8402,48.8752,3412500
2004-04-20,26.4322,48.7601,48.9902,48.0702,48.1851,1903000
2004-04-21,26.1829,48.3002,48.6452,48.0702,48.6452,1345200
2004-04-22,26.0583,48.0702,49.4502,47.9552,48.7601,2508500
2004-04-23,26.0583,48.0702,48.3002,47.9552,48.1851,1695300
2004-04-26,26.2452,48.4152,48.4152,48.0702,48.0702,1030400
2004-04-27,25.8712,47.7252,48.5302,47.6101,48.4152,1646700
2004-04-28,25.5595,47.1502,47.7252,47.1502,47.7252,1906600
2004-04-29,24.8114,45.7701,46.9202,45.1951,46.9202,4293800
2004-04-30,25.4971,47.0351,47.3802,43.8152,46.0002,10662700
2004-05-03,26.8063,49.4502,49.6802,46.6902,47.4951,9979900
2004-05-04,27.3051,50.3702,50.3702,49.1052,49.6802,7050600
2004-05-05,26.7439,49.3351,50.2552,48.3002,50.0252,8104800
2004-05-06,27.6168,50.9452,51.7502,50.0252,50.0252,12238900
2004-05-07,27.679000000000002,51.0601,51.5202,50.4851,51.0601,4376900
2004-05-10,26.930999999999997,49.6802,51.1752,49.3351,50.0252,6906600
2004-05-11,27.3051,50.3702,50.6002,48.8752,49.6802,7100600
2004-05-12,27.3673,50.4851,51.1752,50.1402,50.8302,6409000
2004-05-13,27.491999999999997,50.7152,50.8302,50.3702,50.6002,3106900
2004-05-14,26.930999999999997,49.6802,50.7152,49.5652,50.6002,5003200
2004-05-17,26.5569,48.9902,49.5652,47.1502,49.4502,2464200
2004-05-18,26.5569,48.9902,49.1052,47.9552,48.9902,2015600
2004-05-19,28.3648,52.3252,52.3252,49.4502,49.4502,8129700
2004-05-20,28.5519,52.6702,53.2452,51.4052,51.7502,6457900
2004-05-21,28.6765,52.9002,53.1302,51.8652,52.2101,5258200
2004-05-24,28.8012,53.1302,53.3603,51.7502,52.9002,3591500
2004-05-25,28.6141,52.7851,53.2452,52.4402,53.0152,2684800
2004-05-26,28.5519,52.6702,53.7052,52.4402,53.2452,2517900
2004-05-27,28.0531,51.7502,52.4402,51.4052,51.9802,1891900
2004-05-28,28.6765,52.9002,52.9002,50.6002,51.8652,3394900
2004-05-31,27.679000000000002,51.0601,52.0952,50.8302,52.0952,1342100
2004-06-01,27.7414,51.1752,51.5202,50.3702,51.0601,839900
2004-06-02,27.4297,50.6002,51.0601,50.4851,50.9452,785000
2004-06-03,26.930999999999997,49.6802,51.1752,49.6802,50.9452,1366300
2004-06-04,27.5544,50.8302,51.0601,49.7952,49.9101,3920200
2004-06-07,27.9285,51.5202,51.6353,50.7152,51.4052,1868300
2004-06-08,28.3024,52.2101,52.3252,51.4052,51.6353,1641900
2004-06-09,28.1154,51.8652,52.0952,51.5202,52.0952,738100
2004-06-10,27.679000000000002,51.0601,51.7502,50.6002,51.7502,1106200
2004-06-11,28.0531,51.7502,52.4402,50.7152,50.8302,7048800
2004-06-14,27.9285,51.5202,51.8652,50.9452,51.5202,2028600
2004-06-15,28.1778,51.9802,52.4402,50.9452,51.2902,4935300
2004-06-16,27.9285,51.5202,51.9802,50.8302,51.9802,2991700
2004-06-17,27.679000000000002,51.0601,51.9802,50.8302,51.4052,2181200
2004-06-18,27.5544,50.8302,51.0601,50.8302,51.0601,2934300
2004-06-21,27.6168,50.9452,51.5202,50.7152,51.2902,2125700
2004-06-23,27.7414,51.1752,51.9802,50.9452,50.9452,2973100
2004-06-24,27.5544,50.8302,51.1752,50.8302,51.1752,2405900
2004-06-25,27.7414,51.1752,51.4052,50.8302,50.8302,7763000
2004-06-28,25.3725,46.8052,47.2652,46.1152,46.9202,5676200
2004-06-29,25.6842,47.3802,47.3802,46.3451,47.3802,3394800
2004-06-30,26.3076,48.5302,48.5302,47.1502,47.3802,2273000
2004-07-01,25.9959,47.9552,48.4152,47.9552,48.4152,985600
2004-07-02,25.4971,47.0351,47.9552,46.9202,47.8402,3275200
2004-07-05,25.3725,46.8052,47.6101,46.6902,46.9202,833400
2004-07-06,25.5595,47.1502,47.3802,46.6902,46.6902,541600
2004-07-07,25.6842,47.3802,47.9552,46.4601,46.4601,2014800
2004-07-08,25.4349,46.9202,48.0702,46.8052,47.3802,954700
2004-07-09,25.3101,46.6902,47.2652,46.4601,46.6902,1703800
2004-07-12,25.7465,47.4951,47.4951,46.6902,46.6902,1324800
2004-07-13,25.6218,47.2652,47.4951,46.9202,47.3802,1255700
2004-07-14,25.5595,47.1502,47.2652,46.6902,46.6902,3914300
